"filename", "language", "JSON with Comments", "JSON", "TypeScript JSX", "CSS", "JavaScript", "Markdown", "TypeScript", "XML", "HTML", "comment", "blank", "total"
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\README.md", "Markdown", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 9, 97
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\package-lock.json", "JSON", 0, 16342, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16343
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\package.json", "JSON", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 2, 62
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\report\report.md", "Markdown", 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 32, 189
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\server\package-lock.json", "JSON", 0, 689, 0, 0, 0, 0, 0, 0, 0, 0, 1, 690
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\server\package.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\server\server.js", "JavaScript", 0, 0, 0, 0, 110, 0, 0, 0, 0, 3, 8, 121
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\App.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\App.test.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\App.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 2, 24
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\Result.md", "Markdown", 0, 0, 0, 0, 0, 268, 0, 0, 0, 0, 5, 273
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\context\useCourseContext.tsx", "TypeScript JSX", 0, 0, 189, 0, 0, 0, 0, 0, 0, 12, 25, 226
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\context\useRouerContext.tsx", "TypeScript JSX", 0, 0, 107, 0, 0, 0, 0, 0, 0, 1, 11, 119
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\index.css", "CSS", 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 9, 42
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\index.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 3, 20
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\CourseDesign\CourseDesign.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 5, 83
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\CourseDesign\components\ContentBox.tsx", "TypeScript JSX", 0, 0, 183, 0, 0, 0, 0, 0, 0, 2, 9, 194
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\CourseDesign\components\CourseView.tsx", "TypeScript JSX", 0, 0, 46, 0, 0, 0, 0, 0, 0, 3, 5, 54
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\CourseDesign\components\ErrorView.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 2, 59
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\CourseDesign\components\InfoView.tsx", "TypeScript JSX", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 5, 88
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\CourseDesign\components\ProcessView.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\CourseDesign\components\TagBox.tsx", "TypeScript JSX", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 4, 64
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\CourseDesign\components\TagsBar.tsx", "TypeScript JSX", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 6, 128
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\CourseDesign\components\ToolBar.tsx", "TypeScript JSX", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 4, 70
